"href"	"carbohydrates"	"cholesterol"	"fat"	"kcal"	"proteins"	"sodium"	"sugars"	"title"	"title.bak"
"http://allrecipes.com/recipe/april-fools-grilled-cheese-sandwich/detail.aspx"	55.5	166	29.8	497	3.5	396	40.9	"april fool grill chees sandwich"	"April Fool's Grilled Cheese Sandwich"
"http://allrecipes.com/recipe/all-american-peach-pie-wonder/detail.aspx"	44.2	36	8.5	250	2.3	116	36.1	"american peach pie wonder"	"All-American Peach Pie Wonder"
"http://allrecipes.com/recipe/grilled-goose-with-prune-stuffing-and-gravy-2/detail.aspx"	45.8	175	43.7	813	52.8	2000	19.3	"grill goos prune stuf gravi"	"Grilled Goose with Prune Stuffing and Gravy"
"http://allrecipes.com/recipe/riesling-snapper/detail.aspx"	5.5	87	30.5	433	28.4	173	0.8	"riesl snapper"	"Riesling Snapper"
"http://allrecipes.com/recipe/hard-do-bread/detail.aspx"	25.2	0	2.3	136	3.2	108	3.2	"hard bread"	"Hard Do Bread"
"http://allrecipes.com/recipe/chocolate-orange-tea-drops/detail.aspx"	12.8	22	7.4	120	1.6	89	8.3	"chocol orang tea drop"	"Chocolate Orange Tea Drops"
"http://allrecipes.com/recipe/breakfast-casserole-in-a-slow-cooker/detail.aspx"	21.3	376	54	641	35.7	989	3.3	"breakfast casserol slow cooker"	"Breakfast Casserole in a Slow Cooker"
"http://allrecipes.com/recipe/grandma-ruths-snickerdoodle-cookies/detail.aspx"	16.5	24	5.5	120	1.4	92	9.1	"grandma ruth snickerdoodl cooki"	"Grandma Ruth's Snickerdoodle Cookies"
"http://allrecipes.com/recipe/heavenly-chipped-chocolate-and-hazelnut-cheesecake-2/detail.aspx"	68	118	43.7	707	10.6	275	21.2	"heavenli chip chocol hazelnut cheesecak"	"Heavenly Chipped Chocolate and Hazelnut Cheesecake"
"http://allrecipes.com/recipe/pink-fluff/detail.aspx"	49.1	11	9.7	338	11.1	364	26.6	"pink fluff"	"Pink Fluff"
"http://allrecipes.com/recipe/slow-cooker-cranberry-pork/detail.aspx"	32.9	80	15.1	374	26.8	184	31.2	"slow cooker cranberri pork"	"Slow Cooker Cranberry Pork"
"http://allrecipes.com/recipe/italian-wedding-cookies-ii/detail.aspx"	25.9	41	12.8	220	2.5	80	16.3	"italian wed cooki ii"	"Italian Wedding Cookies II"
"http://allrecipes.com/recipe/toasted-quinoa-granola/detail.aspx"	14	0	3.6	94	3.4	1	1.2	"toast quinoa granola"	"Toasted Quinoa Granola"
"http://allrecipes.com/recipe/hot-asiago-and-spinach-dip/detail.aspx"	1.2	22	10.5	112	3.6	173	0.2	"hot asiago spinach dip"	"Hot Asiago and Spinach Dip"
"http://allrecipes.com/recipe/cousin-cosmos-greek-chicken/detail.aspx"	4.8	85	10.2	239	31	686	1.5	"cousin cosmo greek chicken"	"Cousin Cosmo's Greek Chicken"
"http://allrecipes.com/recipe/pastitsio-iv/detail.aspx"	78.7	149	37.5	851	45.4	751	6.6	"pastitsio iv"	"Pastitsio IV"
"http://allrecipes.com/recipe/mongolian-beef-and-spring-onions/detail.aspx"	54.7	27	12.1	391	18	1862	38.8	"mongolian beef spring onion"	"Mongolian Beef and Spring Onions"
"http://allrecipes.com/recipe/valentines-day-dessert/detail.aspx"	70.2	33	29	554	4.4	292	32.8	"valentin day dessert"	"Valentine's Day Dessert"
"http://allrecipes.com/recipe/nice-spice-cookies/detail.aspx"	12.5	46	12.1	161	1.5	9	6.1	"nice spice cooki"	"Nice Spice Cookies"
